SITE_ID,x,y
16PTBO0106,603050.1426,6055157.341
16PTBO0107,603189.8559,6055209.62
16PTBO0108,601788.7532,6055494.974
16PTBO0111,602144.8961,6055644.608
16ptbo0145,600718.845,6056808.829
16PTBO0462,604328.0718,6058529.801
DSM006,606041.505,6055674.491
DSM011,606011.5006,6054994.493
DSM012,599761.5031,6062344.492
DSM013,600171.5058,6061984.496
DSM031,598431.5054,6062284.497
DSM032,605561.5058,6058544.499
DSM040,600641.5009,6062614.495
DSM045,599621.5061,6060384.493
DSM047,606491.5034,6056584.497
DSM050,602891.504,6054654.494
DSM069,601091.504,6062604.497
DSM083,601061.5056,6062684.497
DSM115,602851.5013,6054954.492
DSM116,605181.5008,6064484.496
DSM120,606051.5032,6056514.497
DSM121,599201.505,6060244.491
DSM128,601011.5062,6062524.494
DSM132,605321.5062,6064334.495
DSM144,605301.5036,6058134.492
PTBO0081,599800.9875,6055238.004
PTBO0086,600020.4458,6054847.184
PTBO0092,601177.8455,6055416.261
PTBO0096,602045,6055332
PTBO0100,602373.3763,6054938.214
PTBO0101,602496.1783,6055268.657
PTBO0116,602501.7585,6055794.679
PTBO0118,600832.0411,6056049.06
PTBO0120,600928.0545,6056004.029
PTBO0125,601312.888,6056278.315
PTBO0126,600611.7351,6056355.851
PTBO0131,600209.5104,6056522.829
PTBO0134,599927.9794,6056722.845
PTBO0137,600230.1424,6057272.32
PTBO0148,601042.5402,6056453.834
PTBO0152,600986.7844,6056857.182
PTBO0155,601949.1724,6056840.832
PTBO0161,601529.0024,6057197.263
PTBO0163,601384.1408,6057070.887
PTBO0164,601764.0888,6056698.18
PTBO0167,601850.7478,6057173.108
PTBO0169,601708.5036,6057241.984
PTBO0174,602309.7092,6056665.863
PTBO0176,602438,6056625
PTBO0178,600863.9058,6058068.505
PTBO0181,601093.7399,6058127.974
PTBO0188,601376.9532,6058129.89
PTBO0190,601388.4996,6058045.769
PTBO0192,602971.0852,6056842.159
PTBO0195,603216.2638,6057079.545
PTBO0198,602885,6057406
PTBO0200,602607.3869,6057370.813
PTBO0203,602531.5722,6057587.463
PTBO0209,602582.6934,6057958.811
PTBO0215,602605.8932,6058251.35
PTBO0218,602101.7714,6057763.552
PTBO0227,601910.5957,6057923.041
PTBO0233,601734.5088,6060425.986
PTBO0237,601943.726,6060403.016
PTBO0238,601689.0236,6061342.669
PTBO0244,601188.244,6061498.584
PTBO0247,601265.5366,6062001.286
PTBO0255,602607.1961,6060586.697
PTBO0258,602451.4008,6060288.186
PTBO0259,602619.3369,6060522.8
PTBO0261,603410.768,6061140.195
PTBO0267,603878.6093,6061240.837
PTBO0270,605143.218,6062326.085
PTBO0271,605236.7805,6062117.107
PTBO0276,605556.5563,6062465.256
PTBO0280,607140.6396,6059731.285
PTBO0290,605830,6057976
PTBO0295,603889.0755,6057419.814
PTBO0300,604096.4761,6056417.18
PTBO0302,604106.1899,6056887.613
PTBO0472,600125.4731,6059642.439
PTBO0479,599134.254,6059755.07
PTBO0481,603739.6601,6061914.027
PTBO0482,601043.1784,6061440.343
PTBO0486,603021.0591,6057030.533
PTBO0487,599624.8163,6054991.802
PTBO0489,602493.5725,6055402.203
PTBO0512,600903.3315,6053635.175
PTBO0514,601134.4583,6053448.107
PTBO0515,601701.6621,6053481.46
PTBO0530,599479.416,6059039.165
PTBO0534,598533.6291,6060508.42
PTBO0537,604687.0991,6062255.995
PTBO0540,604678.1012,6061817.319
